name,variant,category,x,y
Alegreya italic,italic,serif,-8.91124,7.8296466
Alegreya 700,700,serif,-4.064571,9.54319
Alegreya 700italic,700italic,serif,-9.856842,7.357844
Alegreya 900,900,serif,-4.493184,8.772463
Alegreya 900italic,900italic,serif,-10.576686,7.8128095
Francois One regular,regular,sans-serif,-15.023291,9.4210205
Exo 100,100,sans-serif,-8.439588,16.427996
Exo 100italic,100italic,sans-serif,-8.665714,15.209558
Exo 200,200,sans-serif,-9.190507,16.296648
Exo 200italic,200italic,sans-serif,-9.500956,13.997751
Exo 300,300,sans-serif,-10.562531,15.806832
Exo 300italic,300italic,sans-serif,-10.244778,12.57385
Exo regular,regular,sans-serif,-11.890856,14.944628
Exo italic,italic,sans-serif,-11.259536,9.850791
Exo 500,500,sans-serif,-13.097295,13.73548
Exo 500italic,500italic,sans-serif,-11.657839,8.648486
Exo 600,600,sans-serif,-14.308818,11.652656
Exo 600italic,600italic,sans-serif,-12.362406,7.888728
Exo 700,700,sans-serif,-14.617838,10.456554
Exo 700italic,700italic,sans-serif,-12.429733,7.4763093
Exo 800,800,sans-serif,-15.526919,10.202586
Exo 800italic,800italic,sans-serif,-12.77244,7.083004
Exo 900,900,sans-serif,-16.530212,9.646988
Exo 900italic,900italic,sans-serif,-13.596701,6.848848
Acme regular,regular,sans-serif,-14.344949,9.085089
EB Garamond regular,regular,serif,-2.8077998,13.237978
Vollkorn regular,regular,serif,-4.2704854,11.82112
Vollkorn italic,italic,serif,-9.452225,8.088733
Vollkorn 700,700,serif,-5.496147,9.11602
Vollkorn 700italic,700italic,serif,-9.219877,8.926465
Source Code Pro 200,200,monospace,-10.2046795,16.15764
Source Code Pro 300,300,monospace,-11.454492,15.946317
Source Code Pro regular,regular,monospace,-14.921668,15.435862
Source Code Pro 500,500,monospace,-15.318118,14.735615
Source Code Pro 600,600,monospace,-15.646726,14.321243
Source Code Pro 700,700,monospace,-16.044655,13.174507
Source Code Pro 900,900,monospace,-16.402498,12.729876
Maven Pro regular,regular,sans-serif,-11.73187,15.794709
Maven Pro 500,500,sans-serif,-14.277974,13.93028
