name,variant,category,x,y,cluster_in_cat,cluster_key
Roboto Mono 300,300,monospace,5.773256,7.9157395,1,monospace-1
Roboto Mono 300italic,300italic,monospace,5.546066,8.148602,2,monospace-2
Roboto Mono regular,regular,monospace,5.9637094,7.9238276,1,monospace-1
Roboto Mono italic,italic,monospace,5.399996,8.324885,2,monospace-2
Roboto Mono 500,500,monospace,6.1817155,8.064808,0,monospace-0
Roboto Mono 500italic,500italic,monospace,5.4060674,8.372695,0,monospace-0
Roboto Mono 700,700,monospace,6.2553434,8.131166,0,monospace-0
Roboto Mono 700italic,700italic,monospace,5.4516463,8.385189,0,monospace-0
Josefin Sans 100,100,sans-serif,-0.33918822,11.890197,1,sans-serif-1
Josefin Sans 100italic,100italic,sans-serif,1.1615433,10.436742,1,sans-serif-1
Josefin Sans 300,300,sans-serif,-0.69124776,11.089976,1,sans-serif-1
Josefin Sans 300italic,300italic,sans-serif,-0.5444843,10.59631,1,sans-serif-1
Josefin Sans regular,regular,sans-serif,-1.2209957,10.648597,1,sans-serif-1
Josefin Sans italic,italic,sans-serif,-0.61415476,10.31606,1,sans-serif-1
Josefin Sans 600,600,sans-serif,-3.5073214,10.372258,1,sans-serif-1
Josefin Sans 600italic,600italic,sans-serif,2.876066,9.553087,2,sans-serif-2
Josefin Sans 700,700,sans-serif,-3.5486195,10.301562,0,sans-serif-0
Josefin Sans 700italic,700italic,sans-serif,2.951898,9.539782,2,sans-serif-2
Bree Serif regular,regular,serif,-4.5452623,0.40961108,2,serif-2
Catamaran 100,100,sans-serif,-1.8865585,11.126582,1,sans-serif-1
Catamaran 200,200,sans-serif,-1.9578168,11.131503,1,sans-serif-1
Catamaran 300,300,sans-serif,-2.1920185,11.056936,1,sans-serif-1
Catamaran regular,regular,sans-serif,-4.041181,10.428674,1,sans-serif-1
Catamaran 500,500,sans-serif,-4.2635026,9.91574,0,sans-serif-0
Catamaran 600,600,sans-serif,-4.480235,8.225721,0,sans-serif-0
Catamaran 700,700,sans-serif,-4.2927175,7.866238,0,sans-serif-0
Catamaran 800,800,sans-serif,-4.563951,7.5815167,0,sans-serif-0
Catamaran 900,900,sans-serif,-4.7334576,7.1482806,0,sans-serif-0
Merriweather Sans 300,300,sans-serif,-2.5956602,9.973132,1,sans-serif-1
Merriweather Sans 300italic,300italic,sans-serif,2.2318347,9.636361,2,sans-serif-2
Merriweather Sans regular,regular,sans-serif,-3.1931338,9.092932,0,sans-serif-0
Merriweather Sans italic,italic,sans-serif,2.8171136,9.599566,2,sans-serif-2
Merriweather Sans 700,700,sans-serif,-3.7470288,8.127334,0,sans-serif-0
Merriweather Sans 700italic,700italic,sans-serif,3.571851,9.337006,2,sans-serif-2
Merriweather Sans 800,800,sans-serif,-3.9618413,7.643534,0,sans-serif-0
Merriweather Sans 800italic,800italic,sans-serif,3.705684,9.278426,2,sans-serif-2
Fira Sans 100,100,sans-serif,-0.3568759,11.957921,1,sans-serif-1
Fira Sans 100italic,100italic,sans-serif,1.24686,10.398079,1,sans-serif-1
Fira Sans 200,200,sans-serif,-1.481922,11.312116,1,sans-serif-1
Fira Sans 200italic,200italic,sans-serif,1.4979035,9.96838,1,sans-serif-1
Fira Sans 300,300,sans-serif,-1.622212,11.090763,1,sans-serif-1
Fira Sans 300italic,300italic,sans-serif,1.6564101,9.843768,1,sans-serif-1
Fira Sans regular,regular,sans-serif,-2.9936523,9.318195,1,sans-serif-1
Fira Sans italic,italic,sans-serif,2.6106534,9.373458,2,sans-serif-2
Fira Sans 500,500,sans-serif,-3.345456,7.8071737,0,sans-serif-0
Fira Sans 500italic,500italic,sans-serif,3.6117077,9.585279,2,sans-serif-2
Fira Sans 600,600,sans-serif,-3.314873,7.576293,0,sans-serif-0
Fira Sans 600italic,600italic,sans-serif,3.7951062,9.705747,2,sans-serif-2
Fira Sans 700,700,sans-serif,-3.2894552,7.3341813,0,sans-serif-0
Fira Sans 700italic,700italic,sans-serif,3.9412963,9.77466,2,sans-serif-2
Fira Sans 800,800,sans-serif,-3.39985,7.077953,0,sans-serif-0
Fira Sans 800italic,800italic,sans-serif,4.1070094,9.898922,2,sans-serif-2
Fira Sans 900,900,sans-serif,-3.42086,6.876281,0,sans-serif-0
Fira Sans 900italic,900italic,sans-serif,4.145771,9.899397,2,sans-serif-2
Abril Fatface regular,regular,display,-4.5177636,-0.31394333,1,display-1
Exo 2 100,100,sans-serif,-0.39955837,11.904515,1,sans-serif-1
Exo 2 100italic,100italic,sans-serif,1.1969701,10.376521,1,sans-serif-1
