name,variant,category,x,y
Titillium Web regular,regular,sans-serif,-4.45593,11.155424
Titillium Web italic,italic,sans-serif,-5.103867,14.625088
Titillium Web 600,600,sans-serif,-1.0218114,9.900584
Titillium Web 600italic,600italic,sans-serif,-3.9224944,15.980658
Titillium Web 700,700,sans-serif,-0.43222588,9.567458
Titillium Web 700italic,700italic,sans-serif,-3.867407,16.572155
Titillium Web 900,900,sans-serif,2.8522825,10.206711
PT Sans Narrow regular,regular,sans-serif,-2.3889067,8.853345
PT Sans Narrow 700,700,sans-serif,-0.16036625,8.136706
Muli 200,200,sans-serif,-7.89578,11.179774
Muli 200italic,200italic,sans-serif,-8.053937,11.59252
Muli 300,300,sans-serif,-7.0909367,11.497892
Muli 300italic,300italic,sans-serif,-7.13739,11.774738
Muli regular,regular,sans-serif,-5.5917735,12.0301485
Muli italic,italic,sans-serif,-5.456036,12.250514
Muli 600,600,sans-serif,-4.4315686,12.993299
Muli 600italic,600italic,sans-serif,-4.693307,13.041688
Muli 700,700,sans-serif,-1.6706799,12.882072
Muli 700italic,700italic,sans-serif,-1.7695081,13.26085
Muli 800,800,sans-serif,0.1362802,12.947995
Muli 800italic,800italic,sans-serif,-0.64597774,13.536102
Muli 900,900,sans-serif,0.9168978,12.255205
Muli 900italic,900italic,sans-serif,0.06572309,13.364951
Poppins 300,300,sans-serif,-6.036523,11.337176
Poppins regular,regular,sans-serif,-5.1301813,12.134389
Poppins 500,500,sans-serif,-1.9834324,12.9089
Poppins 600,600,sans-serif,0.014600718,12.604943
Poppins 700,700,sans-serif,1.0445638,12.558766
Indie Flower regular,regular,handwriting,-6.256688,8.357255
Bitter regular,regular,serif,0.691111,1.8843292
Bitter italic,italic,serif,-1.8891721,4.0086727
Bitter 700,700,serif,-2.2219818,1.5873988
Dosis 200,200,sans-serif,-7.056761,9.190745
Dosis 300,300,sans-serif,-6.2519836,9.285297
Dosis regular,regular,sans-serif,-4.696059,9.738837
Dosis 500,500,sans-serif,-3.5644941,9.263293
Dosis 600,600,sans-serif,-2.9623168,8.831268
Dosis 700,700,sans-serif,-2.886181,8.528656
Dosis 800,800,sans-serif,-2.518734,8.342701
Inconsolata regular,regular,monospace,-10.038838,14.28717
Inconsolata 700,700,monospace,-9.252919,16.058596
Fjalla One regular,regular,sans-serif,0.87995267,7.605241
Hind 300,300,sans-serif,-6.363893,12.364865
Hind regular,regular,sans-serif,-4.0703726,13.586637
Hind 500,500,sans-serif,-1.9109728,13.821488
Hind 600,600,sans-serif,1.3172951,14.96205
Hind 700,700,sans-serif,1.554213,13.298623
Oxygen 300,300,sans-serif,-6.287218,11.919287
Oxygen regular,regular,sans-serif,-3.6593266,13.72079
Oxygen 700,700,sans-serif,-0.74350876,12.848442
Anton regular,regular,sans-serif,0.79062814,8.016311
Noto Serif regular,regular,serif,1.550074,1.6159742
Noto Serif italic,italic,serif,-3.318866,3.8729513
Noto Serif 700,700,serif,-1.0601494,1.2631409
Noto Serif 700italic,700italic,serif,-3.2667654,4.326486
Cabin regular,regular,sans-serif,-2.7942352,10.204172
Cabin italic,italic,sans-serif,-4.284548,14.895973
Cabin 500,500,sans-serif,-2.2408557,10.312468
Cabin 500italic,500italic,sans-serif,-4.107482,15.09211
Cabin 600,600,sans-serif,-1.8903128,9.977743
Cabin 600italic,600italic,sans-serif,-3.7555566,15.500615
Cabin 700,700,sans-serif,-1.0408763,9.610078
Cabin 700italic,700italic,sans-serif,-3.965423,15.680608
Arvo regular,regular,serif,2.1111712,1.6973288
Arvo italic,italic,serif,-1.4447422,3.5397985
Arvo 700,700,serif,-0.27682242,3.8543468
Arvo 700italic,700italic,serif,-4.478146,17.751484
Libre Baskerville regular,regular,serif,1.7964774,1.0031013
Libre Baskerville italic,italic,serif,-4.4499836,3.4178236
Libre Baskerville 700,700,serif,-0.15254179,1.5942197
Nunito 200,200,sans-serif,-8.428312,10.970751
Nunito 200italic,200italic,sans-serif,-7.9033823,11.734325
Nunito 300,300,sans-serif,-7.211489,11.045711
Nunito 300italic,300italic,sans-serif,-6.667673,11.346432
Nunito regular,regular,sans-serif,-5.252574,9.945367
Nunito italic,italic,sans-serif,-5.342361,9.720437
Nunito 600,600,sans-serif,-4.559247,8.866742
Nunito 600italic,600italic,sans-serif,-4.516919,8.486665
Nunito 700,700,sans-serif,-3.569661,7.8817215
Nunito 700italic,700italic,sans-serif,-3.4463573,7.5327783
Nunito 800,800,sans-serif,-2.8113785,7.2061934
Nunito 800italic,800italic,sans-serif,-2.9627025,7.31748
Nunito 900,900,sans-serif,-2.0272453,6.9765763
Nunito 900italic,900italic,sans-serif,-2.3894742,6.703878
Lobster regular,regular,display,-2.9698663,6.032768
Crimson Text regular,regular,serif,1.99752,-1.8161848
Crimson Text italic,italic,serif,-4.6783795,2.9028544
Crimson Text 600,600,serif,0.18177879,0.34701115
Crimson Text 600italic,600italic,serif,-4.543186,3.5464323
Crimson Text 700,700,serif,-0.6133626,2.0486095
Crimson Text 700italic,700italic,serif,-4.2838297,3.7358875
Yanone Kaffeesatz 200,200,sans-serif,-7.726441,9.5307
Yanone Kaffeesatz 300,300,sans-serif,-5.1410046,9.311555
Yanone Kaffeesatz regular,regular,sans-serif,-2.8042161,8.351679
Yanone Kaffeesatz 700,700,sans-serif,-2.981626,8.011579
Roboto Mono 100,100,monospace,-9.2785225,11.842153
Roboto Mono 100italic,100italic,monospace,-8.971211,12.820158
Roboto Mono 300,300,monospace,-9.711865,13.566267
Roboto Mono 300italic,300italic,monospace,-8.869567,14.4047985
Roboto Mono regular,regular,monospace,-9.997064,14.651037
