name	variant	category	x	y
Alex Brush regular	regular	handwriting	-1.0975249	9.219118
Pragati Narrow regular	regular	sans-serif	1.0054168	5.3533344
Alegreya Sans SC regular	regular	sans-serif	1.9441582	6.0814314
Special Elite regular	regular	display	-2.2064164	2.7908554
Caveat regular	regular	handwriting	-0.5594124	9.076999
Share regular	regular	display	1.0575147	5.171364
Arima Madurai regular	regular	display	2.4213548	6.5698957
Squada One regular	regular	display	0.103840955	5.575609
Fauna One regular	regular	serif	-1.8165281	0.8945579
Kameron regular	regular	serif	-2.189194	2.108208
Enriqueta regular	regular	serif	-2.8817549	1.8360827
Antic regular	regular	sans-serif	3.3580108	4.8246174
Scada regular	regular	sans-serif	1.8858035	5.2733283
Cousine regular	regular	monospace	6.619634	8.793466
Prata regular	regular	serif	-3.4607534	0.8874895
Prompt regular	regular	sans-serif	3.6467137	6.4357853
Lusitana regular	regular	serif	-3.9767456	0.76129013
Ultra regular	regular	serif	-1.7988676	4.3622217
Graduate regular	regular	display	-1.1442646	1.9961642
Gochi Hand regular	regular	handwriting	-0.71244943	7.551045
Clicker Script regular	regular	handwriting	-0.8843814	9.400783
Allura regular	regular	handwriting	-1.1096865	9.431911
Convergence regular	regular	sans-serif	2.481865	5.1816273
PT Serif Caption regular	regular	serif	-2.8526607	1.8605775
Electrolize regular	regular	sans-serif	1.9242843	4.931521
Alef regular	regular	sans-serif	3.4222672	4.199294
Ubuntu Mono regular	regular	monospace	6.463718	8.624983
Viga regular	regular	sans-serif	0.40134987	4.9815226
Rancho regular	regular	handwriting	0.43184876	7.523133
Allerta regular	regular	sans-serif	0.3766839	4.4343805
Just Another Hand regular	regular	handwriting	0.6273745	8.314562
Reenie Beanie regular	regular	handwriting	1.7612156	7.943635
Carme regular	regular	sans-serif	3.1958249	5.753754
Yesteryear regular	regular	handwriting	-0.3322994	8.981956
Basic regular	regular	sans-serif	1.011158	4.7824783
Calligraffitti regular	regular	handwriting	-0.89908093	9.48874
Forum regular	regular	display	-2.6459405	0.7244423
Hind Vadodara regular	regular	sans-serif	4.614885	5.7716413
Khula regular	regular	sans-serif	3.7261329	4.692398
Pinyon Script regular	regular	handwriting	-1.1751736	9.422136
Montserrat Alternates regular	regular	sans-serif	3.6930861	6.58687
Overlock regular	regular	display	3.0636113	4.8070736
Ceviche One regular	regular	display	-0.946122	7.5184355
Nixie One regular	regular	display	-2.3659663	0.6521581
Chivo regular	regular	sans-serif	3.9637814	5.3692746
Michroma regular	regular	sans-serif	2.751688	7.3374963
Love Ya Like A Sister regular	regular	display	-3.1313174	2.4378521
Cherry Cream Soda regular	regular	display	-1.0249567	4.4287243
Rufina regular	regular	serif	-3.1401684	0.9219271
Marmelad regular	regular	sans-serif	1.9478219	6.854012
Monoton regular	regular	display	-1.2993884	4.838402
Fanwood Text regular	regular	serif	-4.086195	0.7479146
Niconne regular	regular	handwriting	-1.0784476	9.049913
Marcellus SC regular	regular	serif	1.9729254	6.0596843
Changa regular	regular	sans-serif	1.6961174	5.2301383
Aldrich regular	regular	sans-serif	1.8578532	4.910732
Freckle Face regular	regular	display	-0.809962	7.2828817
Limelight regular	regular	display	-1.080121	4.6725025
Spinnaker regular	regular	sans-serif	3.8465939	5.0874887
Parisienne regular	regular	handwriting	-1.095997	9.3725
Jaldi regular	regular	sans-serif	3.358621	3.971343
Fugaz One regular	regular	display	-0.9610229	5.3994293
Marcellus regular	regular	serif	4.5490174	5.738809
Telex regular	regular	sans-serif	3.2690616	5.538769
Contrail One regular	regular	display	0.032276787	5.854448
Ruslan Display regular	regular	display	-1.3929597	5.2881203
Petit Formal Script regular	regular	handwriting	-1.1055671	9.186708
Candal regular	regular	sans-serif	-1.0446186	4.7520995
Homenaje regular	regular	sans-serif	0.65073526	6.1655245
Cabin Sketch regular	regular	display	-2.5822916	3.1620386
Magra regular	regular	sans-serif	1.0889306	4.8372173
Tauri regular	regular	sans-serif	0.8884208	4.7299724
Lustria regular	regular	serif	-2.7419608	0.7985597
Carter One regular	regular	display	-0.57900965	5.519947
Assistant regular	regular	sans-serif	3.596123	4.656284
Oranienbaum regular	regular	serif	-3.357947	1.0739384
Average regular	regular	serif	-4.234021	1.1082939
Press Start 2P regular	regular	display	-0.35184094	5.4683223
Marvel regular	regular	sans-serif	3.228004	5.165037
Grand Hotel regular	regular	handwriting	-0.56053853	8.139795
Bubblegum Sans regular	regular	display	-0.040246923	6.7416797
Carrois Gothic regular	regular	sans-serif	3.2465782	4.517177
Average Sans regular	regular	sans-serif	3.2284474	4.04651
Sue Ellen Francisco regular	regular	handwriting	0.77915066	8.376007
Arbutus Slab regular	regular	serif	-2.9906344	2.2302136
Voltaire regular	regular	sans-serif	0.58459723	5.4024262
Cambay regular	regular	sans-serif	2.9680014	5.526821
Jockey One regular	regular	sans-serif	-0.0407644	5.701372
Revalia regular	regular	display	2.5212574	7.382956
Merienda regular	regular	handwriting	0.28055474	7.9405723
Fira Sans Condensed regular	regular	sans-serif	1.0199331	4.9903274
Hind Guntur regular	regular	sans-serif	4.6651316	5.8516803
Goudy Bookletter 1911 regular	regular	serif	-2.2783625	1.2125049
Andika regular	regular	sans-serif	3.0453932	5.5538287
Slabo 13px regular	regular	serif	-2.9699543	1.6595834
Cutive regular	regular	serif	-2.0675097	2.39396
Rammetto One regular	regular	display	-1.1456144	4.7719426
Radley regular	regular	serif	-2.7099664	2.1408193
Quantico regular	regular	sans-serif	1.9034715	4.9710407
Walter Turncoat regular	regular	handwriting	1.5434619	7.259701
Mr Dafoe regular	regular	handwriting	-1.2418362	9.009327
Six Caps regular	regular	sans-serif	0.6535667	6.7434554
Arsenal regular	regular	sans-serif	3.164484	4.116766
Crafty Girls regular	regular	handwriting	1.8215309	7.8677487
Anonymous Pro regular	regular	monospace	6.683471	8.831006
Alegreya SC regular	regular	serif	-0.97322404	1.950982
Fredericka the Great regular	regular	display	-2.7608604	3.0891778
Halant regular	regular	serif	-2.6215198	0.90056926
Eczar regular	regular	serif	-2.9560828	1.7638583
Leckerli One regular	regular	handwriting	-0.90497047	8.384456
Puritan regular	regular	sans-serif	3.2200973	4.4345474
Schoolbell regular	regular	handwriting	0.5818039	7.9079723
Caveat Brush regular	regular	handwriting	-0.42180097	7.6176677
Chonburi regular	regular	display	-2.0752516	3.9785209
Annie Use Your Telescope regular	regular	handwriting	1.9080032	7.7578545
Italianno regular	regular	handwriting	-1.0086381	9.365873
Doppio One regular	regular	sans-serif	0.38006517	4.6416836
Cutive Mono regular	regular	monospace	6.486826	8.724032
Coustard regular	regular	serif	-3.1736066	2.3796124
Ovo regular	regular	serif	-2.8439305	1.0012876
Cinzel Decorative regular	regular	display	-0.80164206	1.7816088
Fontdiner Swanky regular	regular	display	-4.398944	1.622942
Lateef regular	regular	handwriting	-2.2555563	1.2212881
Rosario regular	regular	sans-serif	3.0887783	3.9114995
Lekton regular	regular	sans-serif	6.668452	8.849314
Metrophobic regular	regular	sans-serif	3.4650493	5.903355
Port Lligat Slab regular	regular	serif	-3.585611	1.9665283
Racing Sans One regular	regular	display	-1.0869148	5.3264384
Martel Sans regular	regular	sans-serif	3.4746838	4.2340217
Lilita One regular	regular	display	-0.579817	5.2616873
Berkshire Swash regular	regular	handwriting	-0.61053574	7.8619475
Kelly Slab regular	regular	display	-3.4268456	2.3509138
Caudex regular	regular	serif	-2.883496	1.0127383
Baloo regular	regular	display	-1.9130675	6.9698477
Oregano regular	regular	display	0.4301571	7.881065
Karma regular	regular	serif	-2.3561234	0.8809579
Gilda Display regular	regular	serif	-3.627025	0.8936395
Give You Glory regular	regular	handwriting	1.6375533	8.01809
Gruppo regular	regular	display	2.8373609	7.2440605
Lalezar regular	regular	display	-0.8644564	4.7534165
Londrina Solid regular	regular	display	0.010663074	5.5353584
Trirong regular	regular	serif	-2.8139722	0.8492741
Zeyada regular	regular	handwriting	1.582184	8.002384
Anaheim regular	regular	sans-serif	3.69692	4.428047
Belleza regular	regular	sans-serif	3.0844402	3.9777389
Palanquin regular	regular	sans-serif	3.556042	5.9010015
Inder regular	regular	sans-serif	2.774125	5.3203063
Space Mono regular	regular	monospace	6.5618362	8.900874
Cambo regular	regular	serif	-3.4581246	1.8314525
Happy Monkey regular	regular	display	3.000245	7.060252
Ranga regular	regular	display	0.37491453	7.2549934
Slackey regular	regular	display	-1.1744355	5.236236
Tenor Sans regular	regular	sans-serif	3.4332755	6.0861406
The Girl Next Door regular	regular	handwriting	1.8719575	7.903105
Titan One regular	regular	display	-1.4162579	4.9741616
Waiting for the Sunrise regular	regular	handwriting	1.3996367	8.059129
Mouse Memoirs regular	regular	sans-serif	0.5095475	6.532276
Trocchi regular	regular	serif	-2.369455	2.0278552
Baumans regular	regular	display	2.5427632	5.3115864
Federo regular	regular	sans-serif	3.0246875	4.11953
Pompiere regular	regular	display	2.175139	7.4821606
Quando regular	regular	serif	-2.5515237	2.1775784
Palanquin Dark regular	regular	sans-serif	0.20164447	4.638967
Capriola regular	regular	sans-serif	3.3628323	3.863179
Brawler regular	regular	serif	-3.18699	1.9015867
Merienda One regular	regular	handwriting	0.09332621	7.8345394
Delius regular	regular	handwriting	2.171671	7.113161
Itim regular	regular	handwriting	0.62309104	7.4251795
Carrois Gothic SC regular	regular	sans-serif	1.9844095	6.051585
Mate regular	regular	serif	-3.8873415	0.68182266
Prosto One regular	regular	display	0.053598236	4.5381846
Knewave regular	regular	display	-1.1121389	6.842534
Kranky regular	regular	display	-1.9222435	2.2294924
Yeseva One regular	regular	display	-2.144162	3.891075
Chelsea Market regular	regular	display	0.6752378	4.2862473
Lemon regular	regular	display	-0.919739	7.5812764
Herr Von Muellerhoff regular	regular	handwriting	-1.044894	9.928328
Fira Sans Extra Condensed regular	regular	sans-serif	0.7854935	5.14899
Judson regular	regular	serif	-3.1092727	1.6411304
IM Fell English regular	regular	serif	-4.408038	1.4929161
Allan regular	regular	display	0.28321257	7.3236914
Baloo Paaji regular	regular	display	-1.9170411	6.9836903
Andada regular	regular	serif	-3.2161744	2.0463445
Short Stack regular	regular	handwriting	2.31385	7.3925757
Mako regular	regular	sans-serif	2.9368117	5.33127
Gravitas One regular	regular	display	-1.9234802	4.179742
Duru Sans regular	regular	sans-serif	3.867923	5.0259705
Reem Kufi regular	regular	sans-serif	3.6756046	6.195212
Mr De Haviland regular	regular	handwriting	-1.1773105	9.923482
Crushed regular	regular	display	-0.04113625	5.817628
Alike regular	regular	serif	-3.5846252	1.4419252
Taviraj regular	regular	serif	-2.9103997	1.047927
Montez regular	regular	handwriting	-0.48855248	8.858091
Abhaya Libre regular	regular	serif	-2.9781308	0.8601617
Prociono regular	regular	serif	-3.7433305	1.6642826
Poly regular	regular	serif	-3.1401205	1.9460547
IM Fell English SC regular	regular	serif	-0.9838535	1.9632508
Strait regular	regular	sans-serif	1.4755	5.295825
Frijole regular	regular	display	-1.8291425	4.8336177
IM Fell Double Pica regular	regular	serif	-4.281564	1.0700122
Oxygen Mono regular	regular	monospace	6.620402	8.789201
Wire One regular	regular	sans-serif	0.7852246	6.849683
Biryani regular	regular	sans-serif	3.3760345	5.5228567
Kurale regular	regular	serif	-1.4212471	3.0453403
Oleo Script Swash Caps regular	regular	display	-0.6638489	7.9247446
Belgrano regular	regular	serif	-2.7611992	2.022842
Arizonia regular	regular	handwriting	-1.1449353	9.386897
Just Me Again Down Here regular	regular	handwriting	0.5249264	8.535659
Bowlby One regular	regular	display	-1.1862998	4.7697906
Orienta regular	regular	sans-serif	3.4288268	4.6326137
Meddon regular	regular	handwriting	-1.193578	9.755433
UnifrakturMaguntia regular	regular	display	-0.7033954	7.7470083
Megrim regular	regular	display	2.4878569	6.2101045
Unkempt regular	regular	display	-1.9975296	0.8936779
Mountains of Christmas regular	regular	display	0.029245272	6.995567
Macondo regular	regular	display	0.84242445	7.6883907
Chau Philomene One regular	regular	sans-serif	0.38745067	5.613545
Norican regular	regular	handwriting	-0.9979416	8.534402
Averia Sans Libre regular	regular	display	0.78028	7.4535956
Averia Serif Libre regular	regular	display	-2.3821745	2.6404266
Gafata regular	regular	sans-serif	3.5459063	4.8577714
Sansita regular	regular	sans-serif	0.68834096	5.035704
Rationale regular	regular	sans-serif	0.91070896	5.6940446
Euphoria Script regular	regular	handwriting	-0.9720288	9.326604
Delius Unicase regular	regular	handwriting	3.7123027	4.541311
Bungee Inline regular	regular	display	-2.0719225	6.580206
Miriam Libre regular	regular	sans-serif	3.595315	4.420773
Headland One regular	regular	serif	-3.2445989	2.1749907
Nova Square regular	regular	display	2.082914	5.2296457
Gabriela regular	regular	serif	-1.4417245	3.0727491
Bentham regular	regular	serif	-3.7146878	1.0537152
Unna regular	regular	serif	-3.2520378	1.1219516
Cormorant regular	regular	serif	-4.136398	0.65960866
Poller One regular	regular	display	-1.2046072	4.7414994
La Belle Aurore regular	regular	handwriting	-1.124861	9.3560505
Bowlby One SC regular	regular	display	-1.3091934	5.289561
Holtwood One SC regular	regular	serif	-1.6636785	4.7838
Mallanna regular	regular	sans-serif	2.3466651	6.923099
Sofia regular	regular	handwriting	-0.7589899	8.291967
Aladin regular	regular	handwriting	-0.2128168	6.6488843
Loved by the King regular	regular	handwriting	0.6553179	8.45183
Lily Script One regular	regular	display	-0.5753261	7.925689
Skranji regular	regular	display	-0.43595	6.0468664
Pridi regular	regular	serif	-3.3108802	2.6890125
Qwigley regular	regular	handwriting	-0.82223135	9.758862
Kristi regular	regular	handwriting	-0.107530974	9.139398
Scheherazade regular	regular	serif	-2.2604895	1.1893928
Vast Shadow regular	regular	display	-1.8482369	4.6451306
Fira Mono regular	regular	monospace	6.631455	8.806645
Bilbo Swash Caps regular	regular	handwriting	-1.1482372	9.436955
Yrsa regular	regular	serif	-3.0793433	2.0010993
Expletus Sans regular	regular	display	2.6383274	5.1829805
Voces regular	regular	display	2.7002888	5.2941494
Metamorphous regular	regular	display	-2.894519	1.9542205
Corben regular	regular	display	-2.4194536	2.2897773
Shojumaru regular	regular	display	-1.379109	5.3774834
Sniglet regular	regular	display	1.2975043	7.4265475
Cherry Swash regular	regular	display	-2.7626884	2.3296487
Fondamento regular	regular	handwriting	0.007694306	6.7943254
Mitr regular	regular	sans-serif	0.18766095	4.445279
Seaweed Script regular	regular	display	-0.5629989	9.12192
IM Fell DW Pica regular	regular	serif	-4.312882	1.4873004
Imprima regular	regular	sans-serif	4.0009475	5.600315
Suranna regular	regular	serif	-3.425205	0.94267875
Salsa regular	regular	display	-0.13934079	7.6822915
Dorsa regular	regular	sans-serif	0.69312894	6.8417935
Amethysta regular	regular	serif	-3.4309003	1.2693299
Share Tech Mono regular	regular	monospace	6.636302	8.810325
Patrick Hand SC regular	regular	handwriting	1.3944887	7.1317277
Denk One regular	regular	sans-serif	0.5808122	5.6343513
Rouge Script regular	regular	handwriting	-0.8582035	9.36646
Stardos Stencil regular	regular	display	-3.3156931	2.6682389
Ramabhadra regular	regular	sans-serif	0.078192405	4.4887276
Shanti regular	regular	sans-serif	3.2961411	4.3140583
Italiana regular	regular	serif	3.3241935	5.5665107
Stalemate regular	regular	handwriting	-0.7890772	9.590703
Raleway Dots regular	regular	display	3.060742	6.316904
Dawning of a New Day regular	regular	handwriting	-1.1770288	9.910609
Tienne regular	regular	serif	-2.1995049	2.4440725
Lemonada regular	regular	display	1.6117072	7.12398
Kotta One regular	regular	serif	-1.4980981	3.0021627
Engagement regular	regular	handwriting	-0.6174351	8.752388
Over the Rainbow regular	regular	handwriting	1.3117603	8.03013
Delius Swash Caps regular	regular	handwriting	2.0241704	7.47563
Ledger regular	regular	serif	-2.667821	1.8625987
Medula One regular	regular	display	0.53809035	6.571625
Aguafina Script regular	regular	handwriting	-0.16630535	9.080595
Englebert regular	regular	sans-serif	1.020794	5.4171395
Podkova regular	regular	serif	-1.9657059	2.4925838
Finger Paint regular	regular	display	0.998111	7.42893
Buenard regular	regular	serif	-3.8615928	0.89047104
Faster One regular	regular	display	-1.3836224	5.3859076
Cedarville Cursive regular	regular	handwriting	-1.0149027	9.436215
Life Savers regular	regular	display	-4.0155225	0.53257793
Habibi regular	regular	serif	-3.8966932	0.750249
Iceland regular	regular	display	1.9245981	4.912129
Nova Mono regular	regular	monospace	6.5295444	8.692738
Wendy One regular	regular	sans-serif	-1.0388458	4.840393
BioRhyme regular	regular	serif	-1.8982639	2.6510484
Geo regular	regular	sans-serif	1.6853415	4.9099874
Harmattan regular	regular	sans-serif	3.9963362	5.190715
Maitree regular	regular	serif	-2.6086519	1.0399847
Esteban regular	regular	serif	-2.5851896	1.1691443
Simonetta regular	regular	display	-3.877138	0.65764296
