name,variant,category,x,y
Pacifico regular,regular,handwriting,10.99629,3.3972335
Rubik 300,300,sans-serif,4.2769275,14.847637
Rubik 300italic,300italic,sans-serif,-5.3251433,10.10135
Rubik regular,regular,sans-serif,14.382682,13.156674
Rubik italic,italic,sans-serif,0.09942363,13.543369
Rubik 500,500,sans-serif,14.141124,-1.396923
Rubik 500italic,500italic,sans-serif,9.044509,9.335097
Rubik 700,700,sans-serif,7.7634106,20.971218
Rubik 700italic,700italic,sans-serif,7.439424,15.598955
Rubik 900,900,sans-serif,19.809643,5.9576454
Rubik 900italic,900italic,sans-serif,3.357971,-5.899286
Karla regular,regular,sans-serif,-0.5892208,21.34661
Karla italic,italic,sans-serif,-0.47663122,14.992561
Karla 700,700,sans-serif,-13.924813,0.45488134
Karla 700italic,700italic,sans-serif,17.663275,-2.5391698
Ubuntu Condensed regular,regular,sans-serif,9.627204,14.175393
Work Sans 100,100,sans-serif,15.79285,-2.4739106
Work Sans 200,200,sans-serif,21.917433,5.2991486
Work Sans 300,300,sans-serif,18.874239,19.25492
Work Sans regular,regular,sans-serif,-0.4177873,21.210608
Work Sans 500,500,sans-serif,-14.108974,0.24705608
Work Sans 600,600,sans-serif,-13.7870655,0.6216936
Work Sans 700,700,sans-serif,-2.695475,14.320443
Work Sans 800,800,sans-serif,-2.8331566,14.149874
Work Sans 900,900,sans-serif,-3.0261383,14.368937
Cuprum regular,regular,sans-serif,-14.491662,9.051759
Cuprum italic,italic,sans-serif,12.155189,12.380749
Cuprum 700,700,sans-serif,-14.692417,8.9458
Cuprum 700italic,700italic,sans-serif,12.015037,12.566238
Signika 300,300,sans-serif,10.625707,2.4489338
Signika regular,regular,sans-serif,-14.109194,2.3959816
Signika 600,600,sans-serif,5.8133745,10.065806
Signika 700,700,sans-serif,2.9455132,18.818365
Archivo Narrow regular,regular,sans-serif,-11.573536,-2.077066
Archivo Narrow italic,italic,sans-serif,12.601096,12.056436
Archivo Narrow 700,700,sans-serif,21.268515,-5.9465275
Archivo Narrow 700italic,700italic,sans-serif,-17.202274,-0.7079439
Play regular,regular,sans-serif,11.280697,17.467459
Play 700,700,sans-serif,15.090493,-4.716327
Questrial regular,regular,sans-serif,15.140173,19.261305
Shadows Into Light regular,regular,handwriting,1.6288203,15.731495
Dancing Script regular,regular,handwriting,2.127693,-10.165521
Dancing Script 700,700,handwriting,2.2539358,-10.170083
PT Sans Caption regular,regular,sans-serif,12.263869,-3.8348408
PT Sans Caption 700,700,sans-serif,12.489753,-0.6622093
Alegreya regular,regular,serif,-2.0796306,-1.1686493
Alegreya italic,italic,serif,-3.3832839,-5.025508
Alegreya 700,700,serif,-5.122752,2.7899256
Alegreya 700italic,700italic,serif,5.7346907,20.165579
Alegreya 900,900,serif,19.255587,-1.4459034
Alegreya 900italic,900italic,serif,5.7350845,20.178452
Francois One regular,regular,sans-serif,20.960476,-5.688182
Exo 100,100,sans-serif,-3.026463,8.677683
Exo 100italic,100italic,sans-serif,0.19134806,2.7155807
Exo 200,200,sans-serif,13.312373,-7.4849305
Exo 200italic,200italic,sans-serif,9.5364895,-2.545788
Exo 300,300,sans-serif,-3.7645206,13.380661
Exo 300italic,300italic,sans-serif,9.591673,-2.6494763
Exo regular,regular,sans-serif,13.608127,-12.401675
Exo italic,italic,sans-serif,10.831263,13.14317
Exo 500,500,sans-serif,13.5285,-12.380371
Exo 500italic,500italic,sans-serif,10.999722,13.173857
Exo 600,600,sans-serif,8.86244,-4.2296634
Exo 600italic,600italic,sans-serif,20.424957,9.610889
Exo 700,700,sans-serif,8.999628,-4.1033754
Exo 700italic,700italic,sans-serif,20.761734,9.874554
Exo 800,800,sans-serif,9.182162,-3.7935889
Exo 800italic,800italic,sans-serif,20.546246,9.772035
Exo 900,900,sans-serif,9.128518,-3.8921163
Exo 900italic,900italic,sans-serif,20.304998,9.577397
Acme regular,regular,sans-serif,-1.6268736,15.396644
EB Garamond regular,regular,serif,13.526764,-2.4045267
Vollkorn regular,regular,serif,-9.754945,-1.2940711
Vollkorn italic,italic,serif,-3.2728515,-5.0887747
Vollkorn 700,700,serif,16.869635,-4.8034225
Vollkorn 700italic,700italic,serif,10.315999,8.144955
Source Code Pro 200,200,monospace,-6.3646812,13.0974045
Source Code Pro 300,300,monospace,-6.2167854,13.180584
Source Code Pro regular,regular,monospace,2.4906428,-13.120609
Source Code Pro 500,500,monospace,2.6798425,-12.920671
Source Code Pro 600,600,monospace,2.9286137,-12.675852
Source Code Pro 700,700,monospace,1.7230852,20.518278
Source Code Pro 900,900,monospace,1.6055279,20.583368
Maven Pro regular,regular,sans-serif,-3.598854,1.2369329
Maven Pro 500,500,sans-serif,-10.724975,4.2100186
Maven Pro 700,700,sans-serif,3.4352849,8.321473
Maven Pro 900,900,sans-serif,3.2222517,8.274608
Pathway Gothic One regular,regular,sans-serif,-5.284594,-4.266913
Amatic SC regular,regular,handwriting,-2.874416,11.669336
Amatic SC 700,700,handwriting,-3.0025787,11.565836
Archivo Black regular,regular,sans-serif,-0.15171722,8.68086
Rokkitt 100,100,serif,-10.097218,-8.013567
Rokkitt 200,200,serif,-10.212309,-7.878139
