name,variant,category,x,y,cluster
Titillium Web 700italic,700italic,sans-serif,3.6747987,9.686996,2
Titillium Web 900,900,sans-serif,-5.135818,6.535774,1
PT Sans Narrow regular,regular,sans-serif,-2.5545492,7.672649,1
PT Sans Narrow 700,700,sans-serif,-2.817653,6.860249,1
Muli 200,200,sans-serif,-0.9226031,10.873228,0
Muli 200italic,200italic,sans-serif,-0.6923777,10.749642,0
Muli 300,300,sans-serif,-1.2295012,10.619632,0
Muli 300italic,300italic,sans-serif,-0.9577568,10.391944,0
Muli regular,regular,sans-serif,-2.9548519,10.68161,0
Muli italic,italic,sans-serif,-1.3024218,9.761852,0
Muli 600,600,sans-serif,-3.5552485,10.661969,0
Muli 600italic,600italic,sans-serif,-1.441885,9.667631,0
Muli 700,700,sans-serif,-5.034283,8.264805,1
Muli 700italic,700italic,sans-serif,-5.2660737,8.014602,1
Muli 800,800,sans-serif,-5.170129,7.6710944,1
Muli 800italic,800italic,sans-serif,-5.313368,7.833929,1
Muli 900,900,sans-serif,-5.1122923,7.352124,1
Muli 900italic,900italic,sans-serif,-5.3015633,7.6961565,1
Poppins 300,300,sans-serif,-2.0533538,10.625449,0
Poppins regular,regular,sans-serif,-2.699748,10.628767,0
Poppins 500,500,sans-serif,-3.0308201,10.501502,0
Poppins 600,600,sans-serif,-5.246085,7.7167115,1
Poppins 700,700,sans-serif,-5.316331,7.424403,1
Indie Flower regular,regular,handwriting,-0.15343778,8.743013,0
Bitter regular,regular,serif,-3.2682056,0.05069198,3
Bitter italic,italic,serif,-0.27579442,3.9306266,2
Bitter 700,700,serif,-4.6412215,0.38156995,3
Dosis 200,200,sans-serif,-1.2703964,11.280492,0
Dosis 300,300,sans-serif,-1.4952434,11.017375,0
Dosis regular,regular,sans-serif,-2.1595166,9.484353,0
Dosis 500,500,sans-serif,-2.0436592,8.555967,1
Dosis 600,600,sans-serif,-2.045157,8.347473,1
Dosis 700,700,sans-serif,-1.9886106,8.229688,1
Dosis 800,800,sans-serif,-1.96752,8.130873,1
Inconsolata regular,regular,monospace,5.890016,7.901398,0
Inconsolata 700,700,monospace,6.269064,8.140266,1
Fjalla One regular,regular,sans-serif,-2.7684216,6.701865,1
Hind 300,300,sans-serif,-2.4469492,11.450212,0
Hind regular,regular,sans-serif,-4.1676006,10.943097,0
Hind 500,500,sans-serif,-5.3396144,9.483681,1
Hind 600,600,sans-serif,-7.5217977,9.576948,1
Hind 700,700,sans-serif,9.270837,11.203338,1
Oxygen 300,300,sans-serif,-2.4012496,11.37194,0
Oxygen regular,regular,sans-serif,-4.2202196,10.998028,0
Oxygen 700,700,sans-serif,-4.6512456,8.432233,1
Anton regular,regular,sans-serif,-2.8431253,6.6895003,1
Noto Serif regular,regular,serif,-2.9088428,-0.31865045,3
Noto Serif italic,italic,serif,-0.2892552,3.741389,2
Noto Serif 700,700,serif,-4.327934,0.045373213,3
Noto Serif 700italic,700italic,serif,-0.4532104,3.861682,2
Cabin regular,regular,sans-serif,-2.9993103,9.049241,0
Cabin italic,italic,sans-serif,2.9224494,9.812401,2
Cabin 500,500,sans-serif,-3.091052,8.859083,1
Cabin 500italic,500italic,sans-serif,3.1075454,9.815412,2
Cabin 600,600,sans-serif,-3.2174432,8.615498,1
Cabin 600italic,600italic,sans-serif,3.3074858,9.8089485,2
Cabin 700,700,sans-serif,-3.2541435,8.127562,1
Cabin 700italic,700italic,sans-serif,3.3842044,9.753283,2
Arvo regular,regular,serif,-2.6350796,-0.17959076,3
Arvo italic,italic,serif,-0.28785396,3.858687,2
Arvo 700,700,serif,-3.6023567,1.1169009,3
Arvo 700italic,700italic,serif,3.8443646,8.995659,2
Libre Baskerville regular,regular,serif,-2.8791814,-0.38557243,3
Libre Baskerville italic,italic,serif,0.50298834,3.5045364,2
Libre Baskerville 700,700,serif,-3.714878,0.16712956,3
Nunito 200,200,sans-serif,-0.7515371,10.985773,0
Nunito 200italic,200italic,sans-serif,-0.6566993,10.7315035,0
Nunito 300,300,sans-serif,-1.219344,10.649789,0
Nunito 300italic,300italic,sans-serif,-0.87786436,10.088754,0
Nunito regular,regular,sans-serif,-0.9917941,9.059728,0
Nunito italic,italic,sans-serif,-0.9393592,9.059083,0
Nunito 600,600,sans-serif,-0.9339863,8.688247,0
Nunito 600italic,600italic,sans-serif,-0.8540869,8.567479,0
Nunito 700,700,sans-serif,-1.0263973,8.09327,1
Nunito 700italic,700italic,sans-serif,-1.0103984,7.9858623,1
Nunito 800,800,sans-serif,-1.0888156,7.7793717,1
Nunito 800italic,800italic,sans-serif,-1.0254313,7.7628965,1
Nunito 900,900,sans-serif,-1.2644825,7.619916,1
Nunito 900italic,900italic,sans-serif,-1.0640497,7.6033616,1
Lobster regular,regular,display,-0.48612362,6.3629184,2
Crimson Text regular,regular,serif,-2.7622468,-1.618796,3
Crimson Text italic,italic,serif,0.49569762,3.3945806,2
Crimson Text 600,600,serif,-3.749952,-0.36107898,3
Crimson Text 600italic,600italic,serif,0.4763771,3.539278,2
Crimson Text 700,700,serif,-3.9380562,0.3173068,3
